ID,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,gmm_n3,gmm_n4,gmm_n5,gmm_n6,recommended_method,recommended_solution,recommended_cluster,recommended_max_assignment_probability
5524,0,1,0,2,1,2,1,5,kmeans,kmeans_k3,0,1.0
2174,2,2,3,3,2,0,0,3,kmeans,kmeans_k3,2,1.0
4141,0,0,2,0,1,1,1,0,kmeans,kmeans_k3,0,1.0
6182,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
5324,0,1,0,4,1,1,3,1,kmeans,kmeans_k3,0,1.0
7446,1,0,2,0,1,1,3,1,kmeans,kmeans_k3,1,1.0
965,1,0,2,4,1,1,3,5,kmeans,kmeans_k3,1,1.0
6177,1,2,3,4,2,1,3,1,kmeans,kmeans_k3,1,1.0
4855,2,2,3,4,2,0,0,3,kmeans,kmeans_k3,2,1.0
5899,1,2,3,4,0,3,4,4,kmeans,kmeans_k3,1,1.0
387,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
2125,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
8180,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
2569,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
2114,0,0,2,0,1,2,1,0,kmeans,kmeans_k3,0,1.0
9736,1,2,3,4,2,0,0,3,kmeans,kmeans_k3,1,1.0
4939,2,3,1,1,2,3,3,5,kmeans,kmeans_k3,2,1.0
6565,1,0,2,0,1,2,3,5,kmeans,kmeans_k3,1,1.0
2278,2,3,1,1,2,1,0,3,kmeans,kmeans_k3,2,1.0
9360,2,3,1,4,2,1,3,5,kmeans,kmeans_k3,2,1.0
5376,0,1,0,2,0,3,4,0,kmeans,kmeans_k3,0,1.0
1993,1,0,2,0,1,2,2,5,kmeans,kmeans_k3,1,1.0
4047,1,0,2,0,1,1,3,1,kmeans,kmeans_k3,1,1.0
1409,1,0,2,0,1,1,3,1,kmeans,kmeans_k3,1,1.0
7892,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
2404,1,0,2,0,2,1,2,1,kmeans,kmeans_k3,1,1.0
9422,2,3,1,4,2,1,0,3,kmeans,kmeans_k3,2,1.0
1966,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
6864,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
3033,0,1,0,2,2,1,3,1,kmeans,kmeans_k3,0,1.0
5710,1,0,2,0,2,1,2,1,kmeans,kmeans_k3,1,1.0
7373,1,0,2,4,1,1,3,1,kmeans,kmeans_k3,1,1.0
8755,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
10738,1,2,3,3,2,0,0,3,kmeans,kmeans_k3,1,1.0
4339,0,1,0,0,1,2,3,1,kmeans,kmeans_k3,0,1.0
10755,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
8595,1,2,3,3,2,0,0,3,kmeans,kmeans_k3,1,1.0
2968,0,1,0,2,1,2,1,5,kmeans,kmeans_k3,0,1.0
8601,0,1,0,2,1,2,3,5,kmeans,kmeans_k3,0,1.0
503,2,2,3,4,2,0,0,3,kmeans,kmeans_k3,2,1.0
8430,2,2,3,3,2,0,0,2,kmeans,kmeans_k3,2,1.0
2139,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
1371,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
9909,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
7286,2,3,1,4,2,0,0,3,kmeans,kmeans_k3,2,1.0
6566,1,0,2,0,1,2,2,5,kmeans,kmeans_k3,1,1.0
8614,0,1,0,2,1,1,3,5,kmeans,kmeans_k3,0,1.0
4114,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
1331,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
2225,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
9381,1,0,2,0,1,1,3,1,kmeans,kmeans_k3,1,1.0
6260,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
10383,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
7437,2,2,3,3,2,0,0,3,kmeans,kmeans_k3,2,1.0
8375,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
6853,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
3076,1,0,2,0,1,1,3,1,kmeans,kmeans_k3,1,1.0
1012,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
6518,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
4137,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
8082,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
1386,1,2,3,3,2,0,0,2,kmeans,kmeans_k3,1,1.0
9369,0,1,0,2,1,2,3,5,kmeans,kmeans_k3,0,1.0
4477,0,1,0,2,1,1,3,5,kmeans,kmeans_k3,0,1.0
1357,0,0,2,0,1,3,2,5,kmeans,kmeans_k3,0,1.0
1402,0,1,0,2,1,2,3,5,kmeans,kmeans_k3,0,1.0
6312,0,0,2,4,1,2,3,5,kmeans,kmeans_k3,0,1.0
8132,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
1050,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
5846,2,3,1,1,2,0,0,2,kmeans,kmeans_k3,2,1.0
1859,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
7503,0,1,0,2,1,2,1,5,kmeans,kmeans_k3,0,1.0
10401,2,3,1,1,2,0,0,2,kmeans,kmeans_k3,2,1.0
1618,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
3332,2,2,3,4,2,1,2,1,kmeans,kmeans_k3,2,1.0
2261,2,2,3,1,2,0,0,2,kmeans,kmeans_k3,2,1.0
5346,2,3,1,4,2,0,0,3,kmeans,kmeans_k3,2,1.0
4119,0,1,0,2,2,1,3,1,kmeans,kmeans_k3,0,1.0
535,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
5268,2,2,3,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
273,1,0,2,0,2,1,2,1,kmeans,kmeans_k3,1,1.0
4452,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
8504,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
771,1,0,2,0,2,1,3,1,kmeans,kmeans_k3,1,1.0
11178,2,2,3,3,2,0,0,3,kmeans,kmeans_k3,2,1.0
2230,1,2,3,3,2,0,0,3,kmeans,kmeans_k3,1,1.0
7516,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
7247,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
11100,1,2,3,3,2,0,0,3,kmeans,kmeans_k3,1,1.0
4646,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
3037,0,1,0,4,1,1,1,5,kmeans,kmeans_k3,0,1.0
1473,1,2,3,3,2,0,0,3,kmeans,kmeans_k3,1,1.0
1016,1,2,3,3,2,0,0,3,kmeans,kmeans_k3,1,1.0
4518,0,1,0,2,1,1,3,5,kmeans,kmeans_k3,0,1.0
9370,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
8908,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
8373,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
7533,1,0,2,0,2,1,2,1,kmeans,kmeans_k3,1,1.0
2683,0,0,2,4,1,1,3,5,kmeans,kmeans_k3,0,1.0
3629,1,0,2,4,2,1,2,1,kmeans,kmeans_k3,1,1.0
10991,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
5077,0,1,0,2,1,1,3,5,kmeans,kmeans_k3,0,1.0
7431,1,0,2,0,1,2,1,0,kmeans,kmeans_k3,1,1.0
3267,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
999,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
9215,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
2286,1,2,3,3,2,1,2,3,kmeans,kmeans_k3,1,1.0
1592,0,1,0,2,1,2,1,5,kmeans,kmeans_k3,0,1.0
367,2,3,1,4,1,1,3,5,kmeans,kmeans_k3,2,1.0
5234,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
9862,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
9805,1,0,2,0,1,1,3,5,kmeans,kmeans_k3,1,1.0
6205,2,2,3,3,2,0,0,3,kmeans,kmeans_k3,2,1.0
8442,2,2,3,3,2,0,0,3,kmeans,kmeans_k3,2,1.0
7386,2,2,3,3,2,0,0,3,kmeans,kmeans_k3,2,1.0
7215,0,1,0,2,1,2,1,5,kmeans,kmeans_k3,0,1.0
1491,0,1,0,2,1,2,3,5,kmeans,kmeans_k3,0,1.0
11071,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
3381,1,2,3,3,2,1,2,4,kmeans,kmeans_k3,1,1.0
11051,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
8026,0,1,0,2,1,1,3,5,kmeans,kmeans_k3,0,1.0
433,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
9597,0,1,0,2,1,1,1,0,kmeans,kmeans_k3,0,1.0
5290,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
1685,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
5342,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
9579,1,2,3,4,2,1,2,3,kmeans,kmeans_k3,1,1.0
7660,2,2,3,3,2,0,0,3,kmeans,kmeans_k3,2,1.0
1461,2,2,3,3,2,0,0,3,kmeans,kmeans_k3,2,1.0
821,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
11084,1,0,2,0,1,2,2,5,kmeans,kmeans_k3,1,1.0
8690,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
2937,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
9701,2,3,1,1,2,1,3,3,kmeans,kmeans_k3,2,1.0
9949,1,0,2,0,1,2,2,5,kmeans,kmeans_k3,1,1.0
10837,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
3120,2,2,3,3,2,0,0,2,kmeans,kmeans_k3,2,1.0
5885,1,2,3,4,2,1,2,1,kmeans,kmeans_k3,1,1.0
4050,2,3,1,1,2,1,0,3,kmeans,kmeans_k3,2,1.0
3830,1,0,2,0,1,1,3,1,kmeans,kmeans_k3,1,1.0
7987,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
