feature,non_missing_count,missing_count,missing_pct,zero_count,zero_pct,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max
Age,2212.0,0,0.0,0,0.0,45.08634719710669,11.70159868942895,18.0,22.0,26.0,37.0,44.0,55.0,64.0,68.88999999999987,74.0
Age_Plausible_Flag,2212.0,0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Average_Spend_Per_Purchase,2212.0,0,0.0,6,0.27124773960216997,37.44921583959166,30.08858655711897,0.0,4.0275,6.333333333333333,13.0,29.83974358974359,49.166666666666664,101.64736842105263,127.98777777777777,187.66666666666666
Campaign_Acceptance_Total,2212.0,0,0.0,1754,79.29475587703436,0.298372513562387,0.6795701081625847,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0
Catalog_Purchase_Share,2212.0,0,0.0,575,25.994575045207956,0.16473890287631962,0.14062551654544167,0.0,0.0,0.0,0.0,0.15,0.25,0.4166666666666667,0.5238095238095238,1.0
Customer_Tenure_Days,2212.0,0,0.0,2,0.09041591320072333,353.7142857142857,202.4948859750033,0.0,7.0,38.0,180.0,356.0,529.0,667.0,691.0,699.0
Customer_Tenure_Years,2212.0,0,0.0,2,0.09041591320072333,0.968416935562726,0.5544007829568879,0.0,0.019164955509924708,0.10403832991101986,0.4928131416837782,0.974674880219028,1.4483230663928817,1.8261464750171115,1.891854893908282,1.9137577002053388
Deal_Purchase_Share,2212.0,0,0.0,46,2.0795660036166366,0.24695053219330695,0.35803790477822545,0.0,0.0,0.041666666666666664,0.08333333333333333,0.2,0.3333333333333333,0.5714285714285714,0.6666666666666666,15.0
Fish_Spend_Share,2212.0,0,0.0,379,17.133815551537072,0.07161223421133578,0.0780363659439459,0.0,0.0,0.0,0.012571335422656248,0.04819277108433735,0.1047196354763209,0.22457698269181087,0.35668067226890704,0.5909090909090909
Fruit_Spend_Share,2212.0,0,0.0,394,17.811934900542497,0.04946181601203745,0.0557756693450242,0.0,0.0,0.0,0.008975529166932887,0.029773613737673916,0.07017543859649122,0.16666666666666666,0.2555897435897426,0.44554455445544555
Gold_Spend_Share,2212.0,0,0.0,61,2.7576853526220613,0.12002686912895243,0.10883173800198591,0.0,0.0,0.009360846900836385,0.03803347902357804,0.08571428571428572,0.16976764500349406,0.34348946135831354,0.4478544061302677,0.8941504178272981
Has_Children,2212.0,0,0.0,632,28.57142857142857,0.7142857142857143,0.45185610045369434,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Household_Children,2212.0,0,0.0,632,28.57142857142857,0.9475587703435805,0.7494659088390346,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0
Meat_Spend_Share,2212.0,0,0.0,1,0.045207956600361664,0.24909892741947795,0.12577695039313538,0.0,0.03897319075231569,0.07216375122819342,0.1562170358649789,0.23328865058087578,0.32822671287406924,0.47077248532823796,0.5876935391554475,0.9971098265895953
Store_Purchase_Share,2212.0,0,0.0,14,0.6329113924050633,0.5037065840515915,0.151106406589747,0.0,0.19047619047619047,0.2727272727272727,0.4,0.5,0.6,0.75,1.0,1.0
Sweet_Spend_Share,2212.0,0,0.0,412,18.625678119349008,0.05078992127519473,0.06095462047297294,0.0,0.0,0.0,0.00862866193290531,0.03333333333333333,0.07071898227558604,0.16376178858308715,0.25404545454545396,0.9458483754512635
Total_Purchases,2212.0,0,0.0,6,0.27124773960216997,12.566907775768536,7.205427173661969,0.0,3.0,3.0,6.0,12.0,18.25,24.0,27.889999999999873,32.0
Total_Spend,2212.0,0,0.0,0,0.0,607.2680831826401,602.5133639166675,5.0,13.0,22.0,69.0,397.0,1048.0,1774.699999999999,2126.0,2525.0
Web_Purchase_Share,2212.0,0,0.0,48,2.1699819168173597,0.3288420356760671,0.12209212087847435,0.0,0.0,0.14285714285714285,0.25,0.3333333333333333,0.4,0.5,0.5987058823529396,1.0
Web_Purchases_Per_Web_Visit,2212.0,0,0.0,54,2.4412296564195297,1.077201390942615,1.2116123611828495,0.0,0.0,0.125,0.3333333333333333,0.75,1.5,3.0,4.0,27.0
Wine_Spend_Share,2212.0,0,0.0,13,0.5877034358047016,0.45901023195300167,0.22860380312955222,0.0,0.0171217827997489,0.06561156235069279,0.29006738531982534,0.4582242582897033,0.6411637931034483,0.8307692307692308,0.9147559891730295,0.963302752293578
