column,non_null_unique_count,top_value,top_count,top_pct,is_constant,is_near_constant
AcceptedCmp1,2,0,2096,93.57142857142857,False,False
AcceptedCmp2,2,0,2210,98.66071428571429,False,True
AcceptedCmp3,2,0,2077,92.72321428571428,False,False
AcceptedCmp4,2,0,2073,92.54464285714286,False,False
AcceptedCmp5,2,0,2077,92.72321428571428,False,False
Complain,2,0,2219,99.0625,False,True
Dt_Customer,663,2012-08-31,12,0.5357142857142857,False,False
Education,5,Graduation,1127,50.31250000000001,False,False
ID,2240,5524,1,0.044642857142857144,False,False
Income,1974,<missing>,24,1.0714285714285714,False,False
Kidhome,3,0,1293,57.723214285714285,False,False
Marital_Status,8,Married,864,38.57142857142858,False,False
MntFishProducts,182,0,384,17.142857142857142,False,False
MntFruits,158,0,400,17.857142857142858,False,False
MntGoldProds,213,1,73,3.2589285714285716,False,False
MntMeatProducts,558,7,53,2.3660714285714284,False,False
MntSweetProducts,177,0,419,18.705357142857142,False,False
MntWines,776,2,42,1.875,False,False
NumCatalogPurchases,14,0,586,26.16071428571429,False,False
NumDealsPurchases,15,1,970,43.30357142857143,False,False
NumStorePurchases,14,3,490,21.875,False,False
NumWebPurchases,15,2,373,16.65178571428571,False,False
NumWebVisitsMonth,16,7,393,17.544642857142854,False,False
Recency,100,56,37,1.6517857142857144,False,False
Response,2,0,1906,85.08928571428571,False,False
Teenhome,3,0,1158,51.69642857142858,False,False
Year_Birth,59,1976,89,3.9732142857142856,False,False
Z_CostContact,1,3,2240,100.0,True,False
Z_Revenue,1,11,2240,100.0,True,False
