column,missing_count,missing_pct,non_missing_count
Income,24,1.0714285714285714,2216
AcceptedCmp1,0,0.0,2240
AcceptedCmp2,0,0.0,2240
AcceptedCmp3,0,0.0,2240
AcceptedCmp4,0,0.0,2240
AcceptedCmp5,0,0.0,2240
Complain,0,0.0,2240
Dt_Customer,0,0.0,2240
Education,0,0.0,2240
ID,0,0.0,2240
Kidhome,0,0.0,2240
Marital_Status,0,0.0,2240
MntFishProducts,0,0.0,2240
MntFruits,0,0.0,2240
MntGoldProds,0,0.0,2240
MntMeatProducts,0,0.0,2240
MntSweetProducts,0,0.0,2240
MntWines,0,0.0,2240
NumCatalogPurchases,0,0.0,2240
NumDealsPurchases,0,0.0,2240
NumStorePurchases,0,0.0,2240
NumWebPurchases,0,0.0,2240
NumWebVisitsMonth,0,0.0,2240
Recency,0,0.0,2240
Response,0,0.0,2240
Teenhome,0,0.0,2240
Year_Birth,0,0.0,2240
Z_CostContact,0,0.0,2240
Z_Revenue,0,0.0,2240
