column,count,missing_count,missing_pct,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max,iqr,lower_bound,upper_bound,outlier_count,outlier_pct,negative_count
AcceptedCmp1,2240.0,0,0.0,0.06428571428571428,0.24531597433401414,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0
AcceptedCmp2,2240.0,0,0.0,0.013392857142857142,0.1149756062554841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0
AcceptedCmp3,2240.0,0,0.0,0.07276785714285715,0.25981306992189507,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0
AcceptedCmp4,2240.0,0,0.0,0.07455357142857143,0.2627282848535613,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0
AcceptedCmp5,2240.0,0,0.0,0.07276785714285715,0.25981306992189507,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0
Complain,2240.0,0,0.0,0.009375,0.09639116794449755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0
ID,2240.0,0,0.0,5592.159821428571,3246.6621975643407,0.0,123.78,576.85,2828.25,5458.5,8427.75,10675.05,11074.61,11191.0,5599.5,-5571.0,16827.0,0,0.0,0
Income,2216.0,24,1.0714285714285714,52247.25135379061,25173.076660901403,1730.0,7579.200000000001,18985.5,35303.0,51381.5,68522.0,84130.0,94458.79999999999,666666.0,33219.0,-14525.5,118350.5,8,0.36101083032490977,0
Kidhome,2240.0,0,0.0,0.44419642857142855,0.5383980977345936,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,-1.5,2.5,0,0.0,0
MntFishProducts,2240.0,0,0.0,37.52544642857143,54.62897940287807,0.0,0.0,0.0,3.0,12.0,50.0,168.04999999999973,226.22000000000025,259.0,47.0,-67.5,120.5,223,9.955357142857142,0
MntFruits,2240.0,0,0.0,26.302232142857143,39.77343376457855,0.0,0.0,0.0,1.0,8.0,33.0,123.0,172.0,199.0,32.0,-47.0,81.0,227,10.133928571428571,0
MntGoldProds,2240.0,0,0.0,44.021875,52.16743891499733,0.0,0.0,1.0,9.0,24.0,56.0,165.04999999999973,227.0,362.0,47.0,-61.5,126.5,207,9.241071428571429,0
MntMeatProducts,2240.0,0,0.0,166.95,225.7153725117536,0.0,2.0,4.0,16.0,67.0,232.0,687.0999999999995,915.0,1725.0,216.0,-308.0,556.0,175,7.8125,0
MntSweetProducts,2240.0,0,0.0,27.06294642857143,41.280498487854935,0.0,0.0,0.0,1.0,8.0,33.0,126.0,177.22000000000025,263.0,32.0,-47.0,81.0,248,11.071428571428571,0
MntWines,2240.0,0,0.0,303.9357142857143,336.5973926053718,0.0,1.0,3.0,23.75,173.5,504.25,1000.0,1285.0,1493.0,480.5,-697.0,1225.0,35,1.5625,0
NumCatalogPurchases,2240.0,0,0.0,2.6620535714285714,2.9231006555397463,0.0,0.0,0.0,0.0,2.0,4.0,9.0,10.610000000000127,28.0,4.0,-6.0,10.0,23,1.0267857142857142,0
NumDealsPurchases,2240.0,0,0.0,2.325,1.932237500855979,0.0,0.0,1.0,1.0,2.0,3.0,6.0,10.0,15.0,2.0,-2.0,6.0,86,3.8392857142857144,0
NumStorePurchases,2240.0,0,0.0,5.790178571428571,3.2509581456744323,0.0,2.0,2.0,3.0,5.0,8.0,12.0,13.0,13.0,5.0,-4.5,15.5,0,0.0,0
NumWebPurchases,2240.0,0,0.0,4.084821428571429,2.778714147388102,0.0,0.0,1.0,2.0,4.0,6.0,9.0,11.0,27.0,4.0,-4.0,12.0,4,0.17857142857142858,0
NumWebVisitsMonth,2240.0,0,0.0,5.316517857142857,2.426645009547286,0.0,1.0,1.0,3.0,6.0,7.0,8.0,9.0,20.0,4.0,-3.0,13.0,8,0.35714285714285715,0
Recency,2240.0,0,0.0,49.109375,28.962452808378206,0.0,0.0,4.0,24.0,49.0,74.0,94.0,98.0,99.0,50.0,-51.0,149.0,0,0.0,0
Response,2240.0,0,0.0,0.14910714285714285,0.35627358640847917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0
Teenhome,2240.0,0,0.0,0.50625,0.5445382307698758,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,-1.5,2.5,0,0.0,0
Year_Birth,2240.0,0,0.0,1968.8058035714287,11.984069456885829,1893.0,1945.0,1950.0,1959.0,1970.0,1977.0,1988.0,1992.0,1996.0,18.0,1932.0,2004.0,3,0.13392857142857142,0
Z_CostContact,2240.0,0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0.0,0
Z_Revenue,2240.0,0,0.0,11.0,0.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,0,0.0,0
